Time,Latitude,Longitude
1552119142,29.1205,1.6383
1552119147,28.8916,1.8809
1552119152,28.6622,2.1223
1552119157,28.4323,2.3626
1552119162,28.2019,2.6017
1552119167,27.9710,2.8397
